name,latitude,longitude,empty_slots,free_bikes
Bathurst St / Adelaide St W,43.645324,-79.40345,0,21
Mill St / Parliament St,43.650256,-79.36163,2,11
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,1,17
80 Clinton St,43.656296,-79.414663,1,14
Claremont St / Dundas St W,43.651281,-79.411717,2,10
Rusholme Park Cres / College St,43.65277778,-79.42972222,1,13
College St / Crawford St,43.655,-79.418889,1,16
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,2,17
Queen St E / Alton Av,43.663912,-79.327987,2,17
Simcoe St / Wellington St W North,43.6462176,-79.3855048,10,5
Coxwell Ave / Plains Rd,43.69595,-79.328535,6,13
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,5,10
Logan Ave / Bain Ave,43.6720273,-79.3470557,5,3
Liberty St / Fraser Ave Green P,43.637981,-79.424146,2,16
King St W / Douro St,43.640885,-79.416379,0,11
Queen St E / Berkeley St,43.6552778,-79.36583333333333,2,10
Howard St / Sherbourne St,43.6712581,-79.376367,3,11
Carlton St / Parliament St,43.664524,-79.36793,6,19
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,4,11
King St W / Bay St (East Side),43.648575,-79.380042,19,0
Front St W / Blue Jays Way,43.643473,-79.390477,2,9
Metro Hall Plaza,43.645859,-79.38783,9,16
Parliament St / Gerrard St E,43.662132,-79.3656796,5,16
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,8,1
Jarvis St / Carlton St,43.66207,-79.37617,1,14
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,2,9
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,8,7
Yonge St / Dundonald St - SMART,43.665801,-79.384796,8,3
Bay St / Charles St W - SMART,43.668153,-79.38891,17,3
Church St / Dundas St E - SMART,43.657024,-79.377257,13,2
Yonge St / Alexander St - SMART,43.662862,-79.383572,10,8
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,11,9
Balliol St / Yonge St  SMART,43.6978701,-79.39419,18,2
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,16,1
Front St E / Scott St,43.6476616,-79.37549,5,4
Frederick St / The Esplanade,43.6487245,-79.36839,3,15
King St W / Bay St (West Side),43.64852,-79.380576,31,5
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,10,5
King St W / Spadina Ave,43.645323,-79.395003,11,7
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,10,5
Queens Quay / Yonge St,43.641646,-79.375308,8,20
Front St W / Bay St (North Side),43.646162,-79.378912,10,1
Danforth Ave / Westlake Ave,43.687323,-79.304848,14,1
Jarvis St / Isabella St,43.668991,-79.379385,22,1
Yonge St / Wood St,43.6622222,-79.3825,2,12
King St W / Tecumseth St,43.64333333333333,-79.40555555555557,7,10
Beverley St / College St,43.6575,-79.39527777777778,23,0
Gould St / Yonge St (TMU),43.657424,-79.381019,20,2
Front St W / Bay St (South Side),43.64595,-79.378761,18,1
Charles St W / Balmuto St - SMART,43.668427,-79.38725,10,9
Charles St E / Jarvis St - SMART,43.669604,-79.381171,11,9
Queen St E / Pape Ave - SMART,43.661673,-79.337789,7,8
Gerrard St E / Broadview Ave  - SMART,43.665656,-79.352055,6,12
Humber Bay Shores Park East,43.6308933,-79.4722622,0,18
Humber Bay Shores Park West,43.6224434,-79.480284,0,28
Taddle Creek Park,43.66986,-79.398443,12,3
Thompson St / Broadview Ave - SMART,43.659471,-79.350325,1,11
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,12,7
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,0,16
King St W / Cowan Ave - SMART,43.637922,-79.431734,2,13
Garden Ave / Roncesvalles Ave,43.643769,-79.447915,0,17
Sorauren Ave / Geoffrey St - SMART,43.649172,-79.4445087,5,11
Bloor St W / Manning Ave - SMART,43.663912,-79.416124,16,3
Simcoe St / Wellington St W South,43.6458569,-79.3853654,26,0
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,0,15
Berkeley St / Dundas St E - SMART,43.658816,-79.367318,10,8
128 Sterling Rd - SMART,43.654004,-79.444792,18,1
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,11,8
Sackville St / Eastern Ave - SMART,43.653809,-79.3595,2,10
Davenport Rd / McAlpine St - SMART,43.673768,-79.391253,10,2
Sumach St  / Queen St E,43.656638,-79.358749,0,16
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,11,4
Gerrard St E / Main St,43.684261,-79.299332,15,6
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,11,1
Neil McLellan Park,43.65143,-79.47779,10,3
Jane St / Bloor St W (Jane Subway Station),43.64976,-79.48477,5,10
Antler St / Campbell Ave - SMART,43.664182,-79.449066,17,3
Clarence Square,43.64407,-79.3929,18,5
Lake Shore Blvd W / Louisa St,43.61868,-79.48674,0,14
Front St W / Simcoe St,43.6442,-79.38702,17,0
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,10,1
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,11,8
Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,18,1
Church St / Lombard St,43.651678,-79.375233,4,12
Richmond St E / Yonge St,43.651838,-79.378743,7,8
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,11,11
Pottery Rd / Lower Don River Trail,43.688148,-79.362101,3,12
Bleecker St / St James Ave,43.669232,-79.374495,16,6
Western Battery Rd / Pirandello St,43.640075,-79.414156,2,28
Carlaw Ave / Danforth Ave,43.678285,-79.347346,13,0
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,13,2
Goodwood Park Crt / Dentonia Park,43.694826,-79.295208,8,11
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,2,16
Trent Ave / Danforth Ave,43.689293,-79.295895,21,2
Orchard Park,43.66908,-79.3149,5,14
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,7,13
Martin Goodman Trail / Remembrance Dr,43.63121,-79.41414,23,1
Concord Ave / Bloor St W,43.66189,-79.42679,15,0
Gothic Ave / Quebec Ave,43.65389,-79.4675,10,9
Via Italia / Mackay Ave,43.676697,-79.445029,17,1
Rushton Rd / St Clair Ave W,43.68114,-79.4277,8,2
Dundas St E / Boulton Ave - SMART,43.663148,-79.347938,0,14
Gerrard St E / Leslie St,43.669813,-79.3335,2,19
Marilyn Bell Park Tennis Court,43.633537,-79.437461,18,8
The Queensway at South Kingsway,43.63632,-79.47307,1,21
Merton St / Mount Pleasant Rd,43.697819,-79.38786,21,2
Tyndall Ave / King St W - SMART,43.638426,-79.429142,0,16
College Park - Yonge St Entrance,43.65988,-79.38279,17,6
Barton Ave / Howland Ave - SMART,43.66842,-79.410585,15,3
Keele St / Annette St,43.66402,-79.46418,13,2
Keele St / Vine Ave,43.66686,-79.46526,2,9
