name,latitude,longitude,empty_slots,free_bikes
Baldwin St / Spadina Ave - SMART,43.654905,-79.398448,6,13
Frederick St / King St E,43.651118,-79.369411,6,16
College St / Borden St,43.6571,-79.4056,7,4
Beverley  St / Dundas St W,43.652823,-79.393388,15,15
Bay St / St. Joseph St,43.665527,-79.387499,0,15
Gould St / Mutual St,43.6582,-79.3768,13,14
Riverdale Park North (Broadview Ave),43.671172,-79.354704,1,9
Danforth Ave / Ellerbeck St,43.677076,-79.35667,9,4
Pape Subway Station (Green P),43.680223,-79.344062,10,5
Danforth Ave / Gough Ave,43.678401,-79.346289,14,2
Danforth Ave / Lamb Ave,43.681991,-79.329455,18,1
King St W / Stafford St,43.6422222,-79.41111111111111,2,13
Bathurst St / Lennox St,43.663808,-79.410491,2,16
Bathurst Subway Station,43.6666667,-79.41166666666668,20,3
Bloor St W / Christie St,43.6638889,-79.41888888888889,10,7
Ossington Ave / Bloor St W,43.661705,-79.425734,9,0
Essex St / Christie St - SMART,43.6686111,-79.42027777777778,18,1
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,13,5
Havelock St / Dufferin Park,43.657343,-79.43112,9,9
Bathurst St / Adelaide St W,43.645324,-79.40345,0,25
Mill St / Parliament St,43.650256,-79.36163,2,13
Ossington Ave / Harrison St,43.651111111111106,-79.4213888888889,1,18
80 Clinton St,43.656296,-79.414663,2,13
Claremont St / Dundas St W,43.651281,-79.411717,0,13
Rusholme Park Cres / College St,43.65277778,-79.42972222,6,8
College St / Crawford St,43.655,-79.418889,1,17
Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,11,8
Queen St E / Alton Av,43.663912,-79.327987,4,15
Simcoe St / Wellington St W North,43.6462176,-79.3855048,14,0
Coxwell Ave / Plains Rd,43.69595,-79.328535,7,12
Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,11,4
Logan Ave / Bain Ave,43.6720273,-79.3470557,1,9
Liberty St / Fraser Ave Green P,43.637981,-79.424146,12,7
King St W / Douro St,43.640885,-79.416379,0,11
Queen St E / Berkeley St,43.6552778,-79.36583333333333,5,8
Howard St / Sherbourne St,43.6712581,-79.376367,8,7
Carlton St / Parliament St,43.664524,-79.36793,9,14
Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,2,11
King St W / Bay St (East Side),43.648575,-79.380042,19,0
Front St W / Blue Jays Way,43.643473,-79.390477,10,0
Metro Hall Plaza,43.645859,-79.38783,14,13
Parliament St / Gerrard St E,43.662132,-79.3656796,6,15
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,8,1
Jarvis St / Carlton St,43.66207,-79.37617,1,13
Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,2,9
Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,8,6
Yonge St / Dundonald St - SMART,43.665801,-79.384796,1,10
Bay St / Charles St W - SMART,43.668153,-79.38891,9,10
Church St / Dundas St E - SMART,43.657024,-79.377257,5,10
Yonge St / Alexander St - SMART,43.662862,-79.383572,12,6
Eglinton Ave W / Henning Ave SMART,43.7063473,-79.40161,20,0
Balliol St / Yonge St  SMART,43.6978701,-79.39419,18,2
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,14,2
Front St E / Scott St,43.6476616,-79.37549,7,2
Frederick St / The Esplanade,43.6487245,-79.36839,4,15
King St W / Bay St (West Side),43.64852,-79.380576,36,0
Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,4,11
King St W / Spadina Ave,43.645323,-79.395003,1,18
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,12,3
Queens Quay / Yonge St,43.641646,-79.375308,1,29
Front St W / Bay St (North Side),43.646162,-79.378912,4,4
Danforth Ave / Westlake Ave,43.687323,-79.304848,14,1
Jarvis St / Isabella St,43.668991,-79.379385,12,10
Yonge St / Wood St,43.6622222,-79.3825,0,15
King St W / Tecumseth St,43.64333333333333,-79.40555555555557,1,14
Beverley St / College St,43.6575,-79.39527777777778,22,1
Gould St / Yonge St (TMU),43.657424,-79.381019,13,9
Front St W / Bay St (South Side),43.64595,-79.378761,19,0
Charles St W / Balmuto St - SMART,43.668427,-79.38725,4,14
Charles St E / Jarvis St - SMART,43.669604,-79.381171,15,5
